title,genres,keywords,description
Inception,sci-fi thriller action,dreams heist mind subconscious,A thief enters people's dreams to steal secrets and plant ideas
Interstellar,sci-fi drama adventure,space time travel wormhole family,Explorers travel through a wormhole in space to save humanity
The Dark Knight,action crime thriller,batman joker hero gotham,A vigilante hero faces a criminal mastermind terrorizing the city
Avengers Endgame,action sci-fi superhero,marvel heroes time travel battle,Superheroes unite for a final battle to undo a cosmic catastrophe
Iron Man,action sci-fi superhero,marvel technology suit inventor,A genius inventor builds a high-tech suit to fight evil
3 Idiots,comedy drama,college friendship engineering education,Three engineering students navigate friendship pressure and dreams
Taare Zameen Par,drama family,school child teacher learning,A teacher helps a dyslexic child discover his hidden talent
Dangal,drama sports biography,wrestling father daughters india,A father trains his daughters to become world-class wrestlers
The Matrix,sci-fi action,virtual reality simulation hacker machines,A hacker discovers reality is a simulation controlled by machines
Titanic,romance drama,ship love disaster ocean,A love story unfolds aboard an ill-fated ocean liner
The Lion King,animation family adventure,lion king africa journey,A young lion prince must reclaim his kingdom from his uncle
Toy Story,animation family comedy,toys friendship adventure childhood,Toys come alive and go on adventures when humans are away
Frozen,animation family musical,ice sisters magic kingdom,A princess with ice powers must save her kingdom and sister
Jurassic Park,sci-fi adventure thriller,dinosaurs park genetic science,Cloned dinosaurs escape and wreak havoc in a theme park
Avatar,sci-fi adventure fantasy,alien planet nature war,A soldier connects with an alien world and fights to protect it
The Conjuring,horror thriller,ghost haunted house paranormal,Paranormal investigators help a family terrorized by a dark presence
Annabelle,horror thriller,doll ghost paranormal curse,A vintage doll becomes a conduit for a sinister supernatural entity
KGF,action drama,gold mine gangster rise power,A man rises from poverty to power in a dangerous gold mine
Pushpa,action drama thriller,smuggling forest rise crime,A laborer rises through the ranks of a sandalwood smuggling syndicate
Bahubali,action fantasy drama,kingdom war epic india,A warrior discovers his royal legacy and fights for a kingdom
RRR,action drama period,revolution friendship india british,Two revolutionaries forge a friendship while fighting colonial rule
Spider-Man No Way Home,action sci-fi superhero,marvel multiverse spider hero,Spider-Man faces villains from across the multiverse
Doctor Strange,action fantasy superhero,marvel magic multiverse sorcerer,A surgeon becomes a master of the mystic arts
Harry Potter,fantasy adventure family,magic wizard school friendship,A young wizard attends a magical school and battles dark forces
Lord of the Rings,fantasy adventure epic,ring quest journey kingdom,A hobbit embarks on an epic quest to destroy a powerful ring
